,Country,City,Location
1184,Turkey,Istanbul,"(41.0096334, 28.9651646)"
1185,Pakistan,Lahore,"(31.5621916, 74.3228517)"
1186,Australia,Coffs Harbour,"(-30.1732796, 152.998587582102)"
1187,Indonesia,jakarta,"(-6.1753941, 106.8271826)"
1188,India,New Delhi,"(28.6138967, 77.2159562)"
1189,India,,"(22.3511148, 78.6677428)"
1190,Rwanda,kigali,"(-1.950851, 30.0615075)"
1191,Spain,Móstoles,"(40.3238525, -3.8649213)"
1192,Kenya,Kiambu,"(-1.0358735, 36.8889099354682)"
1193,Cambodia,Phnom Penh,"(11.5742555, 104.82899544331)"
1194,Zambia,Lusaka,"(-15.4166966, 28.2813812)"
1195,Cameroon,yaounde,"(3.8689867, 11.5213344)"
1196,Sweden,Gothenburg,"(57.7072326, 11.9670171)"
1197,Zambia,Lusaka,"(-15.4166966, 28.2813812)"
1198,Indonesia,Bandung,"(-6.9344693, 107.6049539)"
1199,India,New Delhi,"(28.6138967, 77.2159562)"
1200,India,Lucknow,"(26.834512, 80.9080181406892)"
1201,Pakistan,Karachi,"(24.8667795, 67.0311286)"
1202,India,Mumbai,
1203,Burundi,Bujumbura,"(-3.3638124, 29.3675028)"
1204,Jordan,amman,
1205,Nepal,"Taulihawa -4, Kapilvastu Municipality , Kapilvastu district",
1206,Belarus,Гомель,
1207,Kenya,Kisumu,
1208,Viet Nam,Ho Chi Minh city,
1209,Indonesia,Jogjakarta,
1210,South Africa,Nelspruit,"(-25.4819443, 30.9847222)"
1211,Netherlands,,
1212,Indonesia,Jakarta,
1213,Finland,Espoo,
1214,Comoros,Moroni,"(-11.6931254, 43.2543044)"
1215,Nigeria,Asaba,
1216,India,"Calicut, Kerala","(11.2446144, 75.7759372)"
1217,Kyrgyzstan,Bishkek,
1218,Morocco,casablanca,
1219,Sudan,khartoum,
1220,Zambia,,"(-14.5186238, 27.5599164)"
1221,France,Brest,
1222,Italy,,
1223,Tunisia,Ariana,
1224,Australia,Adelaide,
1225,Viet Nam,Hanoi,
1226,Pakistan,Qila Didar Singh,
1227,Turkey,,
1228,Uganda,Kampala,"(0.3177137, 32.5813539)"
1229,India,Bengaluru,
1230,South Sudan,Juba,"(4.8472017, 31.5951655)"
1231,Spain,Murcia,
1232,South Africa,Rustenburg,
1233,Pakistan,Peshawar KPK,
1234,India,New Delhi,
1235,Jordan,Amman,
1236,Brazil,Niterói,
1237,United Kingdom of Great Britain and Northern Ireland,Totnes,
1238,Tunisia,Tunis,"(33.8439408, 9.400138)"
1239,Australia,Sydney,
1240,United Kingdom of Great Britain and Northern Ireland,Bradford on Avon,
1241,Netherlands,Amsterdam,
1242,Turkey,Ankara,"(39.9220732, 32.853758)"
1243,Serbia,Belgrade,
1244,Italy,Venezia,
1245,United Kingdom of Great Britain and Northern Ireland,Much Hadham,
1246,Turkey,Manisa,
1247,Spain,Madrid,
1248,Spain,Madrid,
1249,Slovakia,Hronské Kľačany,
1250,Burundi,bujumbura,"(-3.3638124, 29.3675028)"
1251,Italy,,
1252,Fiji,,
1253,Pakistan,"KTK officers colony, station road Luqman, Khairpur Mirs, Sindh",
1254,Egypt,Cairo,
1255,Indonesia,"Jakarta, Jayapura",
1256,Mexico,Monterrey,
1257,Nigeria,fct- Abuja,
1258,Armenia,Yerevan,
1259,Egypt,Alexandria,
1260,Rwanda,Kigali,
1261,Switzerland,Geneva,
1262,India,"dhekiajuli, sonitpur, assam, pin 784110",
1263,Colombia,"I'm living right now in Berlin, DE. But come from Bogotá, CO.",
1264,Zimbabwe,bulawayo,"(-20.1053947, 28.5426856)"
1265,Zimbabwe,Harare.,"(-17.8317725, 31.0456859)"
1266,Spain,Madrid,
1267,Democratic Republic of the Congo,Kinshasa,"(-4.3217054, 15.3125974)"
1268,Germany,Zornheim,"(49.887824, 8.2276589)"
1269,Japan,Toyokawa city,"(34.84555105, 137.312995529918)"
1270,Pakistan,multan,"(30.197721, 71.4736279)"
1271,Zimbabwe,Harare,"(-17.8317725, 31.0456859)"
1272,South Africa,,"(-28.8166235, 24.991639)"
1273,Togo,Lome,"(6.1258459, 1.2249327)"
1274,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1275,Australia,Botany NSW,"(-33.9478489, 151.1990805)"
1276,Cameroon,Douala,"(4.0537386, 9.6644365792336)"
1277,France,Brest,"(48.3905283, -4.4860087)"
1278,Maldives,Male,"(4.1754179, 73.5102069950142)"
1279,Nigeria,Abuja,"(9.0643305, 7.4892974)"
1280,Cameroon,Bafoussam,"(5.4758083, 10.4215565)"
1281,Spain,Logroño,"(42.4661196, -2.4396675)"
1282,Nigeria,"Ogbomoso,  Oyo  State",
1283,India,Kannauj,"(26.9861559, 79.8452149774924)"
1284,Spain,,"(40.0028028, -4.0031039)"
1285,Indonesia,Pandeglang,"(4.1972887, 98.0028738)"
1286,Sierra Leone,Freetown,"(8.4790017, -13.2680157)"
1287,Kenya,Mombasa,"(-4.0390145, 39.648390961857)"
1288,Zambia,Lusaka,"(-15.4166966, 28.2813812)"
1289,China,Dalian,"(38.920716, 121.6388678)"
1290,Pakistan,Rawalpindi,"(33.5991484, 73.0641002)"
1291,Zimbabwe,Harare,"(-17.8317725, 31.0456859)"
1292,Australia,,"(-24.7761085, 134.755)"
1293,Japan,,"(36.5748441, 139.2394179)"
1294,New Zealand,,"(-41.500083, 172.8344077)"
1295,Russian Federation,Rostov-on-Don,"(47.2248606, 39.7022857)"
1296,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
1297,Spain,Madrid,"(40.4167047, -3.7035824)"
1298,Indonesia,Depok,"(-7.7689656, 110.405357249038)"
1299,France,,"(46.603354, 1.8883335)"
1300,Spain,,"(40.0028028, -4.0031039)"
1301,Nigeria,"FCT, ABUJA","(9.0354049, 7.47540763969816)"
1302,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1303,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1304,Burkina Faso,Diébougou,"(10.9650332, -3.2488876)"
1305,Zimbabwe,Harare,"(-17.8317725, 31.0456859)"
1306,United States of America,"boothwyn, pa","(39.8301125, -75.4415842)"
1307,France,Dijon,"(47.3215806, 5.0414701)"
1308,Philippines,Manila,"(14.5906216, 120.9799696)"
1309,Croatia,Poreč,"(45.2273829, 13.5956941)"
1310,India,,"(22.3511148, 78.6677428)"
1311,Australia,Adelaide,"(-34.9274283, 138.599899)"
1312,Nigeria,Lagos,"(6.4550575, 3.3941795)"
1313,India,Thrissur,"(10.5247476, 76.2143942)"
1314,Serbia,beograd,"(44.8178787, 20.4568089)"
1315,Argentina,Rosario,
1316,United States of America,Atlanta,"(33.7490987, -84.3901848)"
1317,India,DHAR,"(22.5757719, 75.2169481932504)"
1318,Serbia,Belgrade,"(44.8178787, 20.4568089)"
1319,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1320,Italy,Naples,"(40.8359336, 14.2487826)"
1321,United Kingdom of Great Britain and Northern Ireland,Sheffield,"(53.3806626, -1.4702277)"
1322,United Kingdom of Great Britain and Northern Ireland,London,
1323,Serbia,Nis (city) / Gornji Matejevac (village),
1324,United Kingdom of Great Britain and Northern Ireland,London,
1325,United Kingdom of Great Britain and Northern Ireland,London,
1326,United Kingdom of Great Britain and Northern Ireland,Warrington,"(53.40180345, -2.56803697272251)"
1327,Nigeria,ABA ABIA STATE,
1328,Ethiopia,"Addis Ababa, Ethiopia","(9.0107934, 38.7612525)"
1329,Serbia,Belgrade,"(44.8178787, 20.4568089)"
1330,India,Delhi,"(28.6517178, 77.2219388)"
1331,Spain,Málaga,"(36.7210805, -4.4210409)"
1332,China,Shanghai,"(31.2253441, 121.4888922)"
1333,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1334,Portugal,,"(40.033265, -7.8896262)"
1335,Nigeria,Abuja FCT.,"(9.0643305, 7.4892974)"
1336,Brazil,Belo Horizonte,"(-19.9227317, -43.9450947)"
1337,Denmark,copenhagen,"(55.6867243, 12.5700724)"
1338,Tunisia,Sfax,"(34.739739, 10.7598516)"
1339,Russian Federation,Nowosibirsk,"(55.0282215, 82.9234476)"
1340,Guyana,,"(4.8417097, -58.641689)"
1341,Turkey,İZMİR,"(38.4153421, 27.144474)"
1342,Ethiopia,Addis Ababa,"(9.0107934, 38.7612525)"
1343,Australia,Melbourne,"(-37.8142175, 144.9631608)"
1344,Viet Nam,Ho Chi Minh city,"(10.7758439, 106.7017555)"
1345,Armenia,Yerevan,"(40.1776121, 44.5125849)"
1346,Spain,madrid,"(40.4167047, -3.7035824)"
1347,Nigeria,Abuja FCT,"(9.0643305, 7.4892974)"
1348,United States of America,New York,"(40.7305991, -73.9865811)"
1349,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
1350,United States of America,New York,"(40.7305991, -73.9865811)"
1351,Norway,Oslo,"(59.9132694, 10.7391112)"
1352,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1353,Australia,Sydney,"(-33.8548156, 151.2164539)"
1354,Pakistan,Karachi,"(24.8667795, 67.0311286)"
1355,India,New Delhi,"(28.6138967, 77.2159562)"
1356,Zimbabwe,Harare,"(-17.8317725, 31.0456859)"
1357,India,Hyderabad,"(17.3616227, 78.4747305)"
1358,Spain,Madrid,"(40.4167047, -3.7035824)"
1359,United Kingdom of Great Britain and Northern Ireland,Norwich,"(52.628606, 1.29227)"
1360,France,La Rochelle,"(46.1591126, -1.1520433)"
1361,Bhutan,Thimphu,"(27.5626719, 89.5724019168216)"
1362,France,Viroflay,"(48.8013, 2.17056)"
1363,Kenya,Eldoret,"(0.5198329, 35.2715481)"
1364,Armenia,Yerevan,"(40.1776121, 44.5125849)"
1365,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
1366,Spain,Madrid,"(40.4167047, -3.7035824)"
1367,India,Ahmedabad,"(23.0216238, 72.5797068)"
1368,India,Kolkata,"(22.5677459, 88.3476023)"
1369,United Kingdom of Great Britain and Northern Ireland,"Dutch national, residing in UK for over 5 years",
1370,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
1371,United States of America,"Jacksonville, Florida","(30.3321838, -81.6556509)"
1372,China,Xi'an,"(34.2191582, 109.110194631497)"
1373,Pakistan,Lahore,"(31.5621916, 74.3228517)"
1374,Yemen,Sana'a,"(15.342101, 44.2005197)"
1375,Nigeria,FCT Abuja,"(9.0354049, 7.47540763969816)"
1376,India,Puducherry,"(10.90253775, 79.9752370356183)"
1377,Honduras,Tegucigalpa,"(14.0931919, -87.201263)"
1378,India,New Delhi,"(28.6138967, 77.2159562)"
1379,Democratic Republic of the Congo,Kinshasa,"(-4.3217054, 15.3125974)"
1380,United States of America,"Asheville, NC",
1381,India,New Delhi,"(28.6138967, 77.2159562)"
1382,Poland,Poznan,"(52.4082663, 16.9335199)"
1383,Portugal,Lisbon,"(38.7077926, -9.1365069)"
1384,United Kingdom of Great Britain and Northern Ireland,Brighton,"(50.8220399, -0.137406)"
1385,Brazil,"Florianópolis, SC","(-27.5973001, -48.5496097)"
1386,Philippines,Davao City,"(7.22650725, 125.454887691355)"
1387,Democratic Republic of the Congo,Fizi,"(-4.2696782, 28.8806315649178)"
1388,United Republic of Tanzania,Kagera,"(0.3215622, 32.5862426)"
1389,Cameroon,yaoundé,"(3.8689867, 11.5213344)"
1390,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1391,Mexico,"Merida, Yucatan","(20.9671405, -89.6236999)"
1392,India,Mumbai,"(18.9523804, 72.8327112)"
1393,Egypt,cairo,"(30.0488185, 31.2436663)"
1394,India,Bilaspur,"(22.39558325, 81.6869862830063)"
1395,United Republic of Tanzania,Kigoma,
1396,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1397,United States of America,"Brooklyn, NY","(40.6501038, -73.9495822)"
1398,India,"Nalgonda,Telangana","(17.08381015, 79.4077202420422)"
1399,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1400,India,"kalpetta,wayanad.","(11.6136614, 76.0851692)"
1401,Colombia,Bogota,"(4.5980478, -74.0760866)"
1402,United States of America,Mahopac,"(41.372316, -73.7334649)"
1403,Philippines,Quezon City,"(14.6509905, 121.0486155)"
1404,Spain,Madrid,"(40.4167047, -3.7035824)"
1405,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
1406,Portugal,lisbon,"(38.7077926, -9.1365069)"
1407,Argentina,Campana,"(-34.163663, -58.9586836)"
1408,Sudan,Khartoum,"(15.5933247, 32.5356502)"
1409,Armenia,Yerevan,"(40.1776121, 44.5125849)"
1410,China,LANZHOU,"(36.0603476, 103.8330001)"
1411,United States of America,Houston,"(29.7589382, -95.3676973)"
1412,South Africa,"Bloemfontein, Free State","(-29.1163946, 26.2154956)"
1413,Australia,Melbourne,"(-37.8142175, 144.9631608)"
1414,Indonesia,Makassar,"(-5.1342961, 119.4124282)"
1415,Malaysia,Bukit Mertajam,"(5.3636847, 100.455994)"
1416,Brazil,São Bernardo do Campo / SP,"(-23.690102, -46.5629623)"
1417,United Kingdom of Great Britain and Northern Ireland,Ellesmere Port,"(53.2789347, -2.9022506)"
1418,United States of America,Amherst,"(42.3803676, -72.5231429)"
1419,Canada,Armstrong,"(50.4435749, -119.1944057)"
1420,Nigeria,Enugu,"(6.4499833, 7.5000007)"
1421,Nigeria,Jos,"(9.9175125, 8.8979401)"
1422,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1423,United States of America,Philadelphia,"(39.9523993, -75.1635898)"
1424,Brazil,Florianópolis,"(-27.5973001, -48.5496097)"
1425,Portugal,Lisbon,"(38.7077926, -9.1365069)"
1426,Colombia,BOGOTÁ,"(4.5980478, -74.0760866)"
1427,Spain,Malaga,"(36.7210805, -4.4210409)"
1428,Pakistan,Islamabad,"(33.6945756, 73.0643744)"
1429,Brazil,São Paulo,"(-23.5506506, -46.6333823)"
1430,United Republic of Tanzania,Dar es Salaam,"(-6.81257725, 39.2895041055514)"
1431,United Kingdom of Great Britain and Northern Ireland,london,"(51.5073219, -0.1276473)"
1432,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
1433,Colombia,GUADALAJARA DE BUGA,"(3.9000578, -76.3020129)"
1434,Democratic Republic of the Congo,Kinshasa,"(-4.3217054, 15.3125974)"
1435,Belgium,Brussels,"(50.8465565, 4.351697)"
1436,Cameroon,Douala,"(4.0537386, 9.6644365792336)"
1437,Peru,Lima,"(-12.0552079, -77.026476429964)"
1438,Uruguay,Montevideo,"(-34.9059038, -56.1913568)"
1439,Colombia,Popayán,"(2.4418517, -76.6060617)"
1440,Cameroon,Yaounde,"(3.8689867, 11.5213344)"
1441,Canada,ottawa,"(45.4210328, -75.6900218)"
1442,United States of America,Indianapolis/Indiana,"(39.7683331, -86.1583501)"
1443,India,Darbhanga,"(26.1564716, 85.9255196)"
1444,Mexico,Metepec,"(19.25113375, -99.5937280303492)"
1445,United Kingdom of Great Britain and Northern Ireland,Liverpool,"(53.4054719, -2.9805392)"
1446,United States of America,Austin,"(30.2711286, -97.7436994)"
1447,Canada,"Vancouver, BC","(49.2608944, -123.1139382)"
1448,Liberia,Monrovia/Paynesville,"(6.2631468, -10.6991482)"
1449,United Kingdom of Great Britain and Northern Ireland,Amersham,"(51.676685, -0.6076919)"
1450,United States of America,Baltimore,"(39.2908608, -76.6108072)"
1451,United States of America,New York,"(40.7305991, -73.9865811)"
1452,Canada,Sudbury,"(46.4910993, -80.9907388)"
1453,Senegal,Dakar,"(14.6934248, -17.4479376)"
1454,India,Chennai,"(13.0796914, 80.2829533)"
1455,Colombia,BOGOTA DC,"(4.5980478, -74.0760866)"
1456,Sudan,Khartoum,"(15.5933247, 32.5356502)"
1457,Belarus,Minsk,"(53.902334, 27.5618791)"
1458,United Kingdom of Great Britain and Northern Ireland,Buntingford/Hertfordshire,"(51.94672, -0.0172745)"
1459,Pakistan,Karachi,"(24.8667795, 67.0311286)"
1460,Mexico,Toluca,"(19.292545, -99.6569006)"
1461,Brazil,São Paulo,"(-23.5506506, -46.6333823)"
1462,Nigeria,abia,"(5.4540953, 7.5153071)"
1463,Saint Lucia,Gros Islet,"(14.0812465, -60.9506374282101)"
1464,Mexico,"Metepec, Mexico","(19.25113375, -99.5937280303492)"
1465,Panama,Panama,"(8.3096067, -81.3066245)"
1466,Bahrain,Manama,"(26.2235041, 50.5822436)"
1467,Canada,Ottawa,"(45.4210328, -75.6900218)"
1468,France,Brignogan-Plages,"(48.6646534, -4.3268165)"
1469,Canada,Toronto,"(43.6529206, -79.3849007)"
1470,Yemen,Taiz,"(13.5752242, 44.0215268)"
1471,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
1472,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
1473,Morocco,rabat,"(34.0226709, -6.8391104)"
1474,Italy,Tromello,"(45.2091305, 8.8717307)"
1475,Uruguay,Montevideo,"(-34.9059038, -56.1913568)"
1476,Canada,Vancouver,"(49.2608944, -123.1139382)"
1477,Netherlands,Amsterdam,"(52.374436, 4.8979956033677)"
1478,Turkey,Istanbul,"(41.0096334, 28.9651646)"
1479,United States of America,Orange,"(33.7500378, -117.870493)"
1480,United States of America,Kansas City,"(39.0844687, -94.5630297)"
1481,India,Gurgaon,"(28.4646148, 77.0299194)"
1482,Spain,Portugalete,"(43.3190797, -3.0201115)"
1483,Germany,Bonn,"(50.7358511, 7.1006599)"
1484,Uganda,Gulu,"(2.8763527, 32.419055328944)"
1485,Spain,Madrid,"(40.4167047, -3.7035824)"
1486,Argentina,Comodoro Rivadavia,"(-45.8653442, -67.4807525)"
1487,Armenia,,"(40.7696272, 44.6736646)"
1488,Pakistan,Lahore,"(31.5621916, 74.3228517)"
1489,Uganda,Kampala,"(0.3177137, 32.5813539)"
1490,Pakistan,karachi,"(24.8667795, 67.0311286)"
1491,Mexico,Toluca,"(19.292545, -99.6569006)"
1492,Australia,Adelaide,"(-34.9274283, 138.599899)"
1493,United States of America,"Baltimore, MD","(39.2908608, -76.6108072)"
1494,United States of America,Parlin,"(40.4620504, -74.3382036)"
1495,United States of America,,"(39.7837304, -100.4458824)"
1496,United Republic of Tanzania,,"(8.99118225, 38.79211626126)"
1497,Yemen,sana'a,"(15.342101, 44.2005197)"
1498,Brazil,Porto Alegre,"(-30.0282657, -51.2284269)"
1499,India,"Patiala,Punjab","(30.12094725, 75.7624628955087)"
1500,Comoros,Moroni,"(-11.6931254, 43.2543044)"
1501,Morocco,MEKNES,"(33.8850849, -5.5678715)"
1502,United States of America,Columbus,"(39.9622601, -83.0007064)"
1503,United Kingdom of Great Britain and Northern Ireland,Chester,"(53.1908873, -2.8908954)"
1504,Brazil,Porto Alegre,"(-30.0282657, -51.2284269)"
1505,Canada,Fenelon Falls,"(44.5359244, -78.7379043)"
1506,United States of America,Waxhaw,"(34.9245935, -80.7434018)"
1507,Turkey,Ankara,"(39.9220732, 32.853758)"
1508,Indonesia,Banda Aceh,"(5.56318155, 95.3221454617116)"
1509,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1510,Canada,Ottawa,"(45.4210328, -75.6900218)"
1511,Mexico,,"(19.4325301, -99.1332101)"
1512,Benin,Cotonou,"(6.367682, 2.4252292)"
1513,Brazil,,"(-10.3333332, -53.1999999)"
1514,United Kingdom of Great Britain and Northern Ireland,Edinburgh,"(55.9483544, -3.1931186)"
1515,Philippines,Makati,"(14.55459465, 121.021408611015)"
1516,Nigeria,Umuahia,"(5.5289005, 7.4991542)"
1517,Mexico,Ciudad de México,"(19.4325301, -99.1332101)"
1518,Mexico,Metepec,"(19.25113375, -99.5937280303492)"
1519,Mexico,CDMX,"(19.32055625, -99.1517009707765)"
1520,Honduras,Tegucigalap,
1521,Canada,"Fenelon Falls, Ontario","(44.5359244, -78.7379043)"
1522,United States of America,"Huntsville, AL","(34.676649, -86.4812115114272)"
1523,Australia,Sydney,"(-33.8548156, 151.2164539)"
1524,Algeria,Alger,"(36.775348, 3.0600655)"
1525,Mexico,Morelos,"(19.4325301, -99.1332101)"
1526,Philippines,Makati,"(14.55459465, 121.021408611015)"
1527,Seychelles,"Victoria, Mahe","(-4.6219495, 55.4533145)"
1528,Mexico,México city,"(19.4325301, -99.1332101)"
1529,Mexico,tijuana,"(32.5008626, -116.9641656)"
1530,Thailand,Bangkok,"(13.5859219, 100.416086601645)"
1531,United States of America,"Miami, Florida","(25.7742658, -80.1936588)"
1532,Australia,Sydney,"(-33.8548156, 151.2164539)"
1533,Philippines,Batangas City,"(13.6690741, 121.070333025105)"
1534,Viet Nam,Bac Ninh,"(21.1212051, 106.0880245)"
1535,Costa Rica,San José/ Pérez Zeledón,
1536,Brazil,Belo Horizonte,"(-19.9227317, -43.9450947)"
1537,United States of America,"Gainesville, FL","(29.651907, -82.3247975)"
1538,Australia,Perth,"(-31.952712, 115.8604796)"
1539,Colombia,medellin,"(6.2443382, -75.5735529)"
1540,Republic of Korea,Seoul,"(37.5666791, 126.9782914)"
1541,Mexico,Mexico City,"(19.4325301, -99.1332101)"
1542,United States of America,Mazama WA,"(48.5920867, -120.4039843)"
1543,Brazil,Belo horizonte,"(-19.9227317, -43.9450947)"
1544,Mexico,Metepec,"(19.25113375, -99.5937280303492)"
1545,New Zealand,Clyde,"(-45.1904299, 169.3241428)"
1546,Australia,Melbourne,"(-37.8142175, 144.9631608)"
1547,India,Cochin,"(9.9633864, 76.2536614)"
1548,China,Hong Kong SAR,
1549,Libya,Tripoli,"(32.77325405, 13.4141472054133)"
1550,Philippines,Makati,"(14.55459465, 121.021408611015)"
1551,United States of America,San Antonio tx,"(29.4246002, -98.4951404)"
1552,Mexico,Estado de mexico,"(19.4325301, -99.1332101)"
1553,United States of America,Oakland,"(37.8044557, -122.2713562)"
1554,Mexico,,"(19.4325301, -99.1332101)"
1555,India,Delhi,"(28.6517178, 77.2219388)"
1556,Malaysia,"Kuching, Sarawak","(1.560091, 110.3454137)"
1557,United States of America,Portland me.,"(43.6610277, -70.2548595)"
1558,Sri Lanka,colombo,"(6.934287, 79.8532704)"
1559,Mexico,Toluca,
1560,Pakistan,Islamabad,"(33.6945756, 73.0643744)"
1561,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
1562,Mexico,"La Paz, bcs",
1563,Australia,Sydney,"(-33.8548156, 151.2164539)"
1564,Australia,Melbourne,"(-37.8142175, 144.9631608)"
1565,Australia,Canberra,"(-35.2819366, 149.128894)"
1566,Nepal,kathmandu,"(27.7087963, 85.3202438)"
1567,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
1568,United States of America,"Ft. Worth, TX","(32.753177, -97.3327458)"
1569,Pakistan,,"(30.3308401, 71.247499)"
1570,Pakistan,,"(30.3308401, 71.247499)"
1571,Philippines,Las Piñas City,"(14.4806089, 120.9819099)"
1572,Italy,Milano,"(45.4667971, 9.1904984)"
1573,Spain,Burgos,"(42.343926, -3.6969769)"
1574,Ukraine,Kharkiv,"(49.9902794, 36.2303893)"
1575,Republic of Korea,,"(35.3985008, 127.937111)"
1576,Nigeria,Uyo,"(5.0322447, 7.924791)"
1577,Armenia,Yerevan,"(40.1776121, 44.5125849)"
1578,Philippines,Quezon City,"(14.6509905, 121.0486155)"
1579,South Africa,Johannesburg,"(-26.2049999, 28.0497222)"
1580,Lebanon,Beirut,"(33.8959203, 35.47843)"
1581,Nigeria,Abuja,"(9.0643305, 7.4892974)"
1582,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1583,Nepal,Kathmandu,"(27.7087963, 85.3202438)"
1584,Pakistan,Faisalabad,"(31.4220558, 73.0923253)"
1585,Comoros,Moheli/ Résident à Moroni,
1586,Australia,Moe,"(-38.1775202, 146.2618944)"
1587,Italy,Verona,"(45.4384958, 10.9924122)"
1588,Uganda,Kampala,"(0.3177137, 32.5813539)"
1589,South Africa,PRETORIA,"(-25.7458368, 28.1867178)"
1590,Australia,Nollamara,"(-31.880437, 115.843598)"
1591,Italy,,"(42.6384261, 12.674297)"
1592,United Kingdom of Great Britain and Northern Ireland,Northampton,"(52.2385239, -0.9024929)"
1593,Tunisia,monastir,"(35.7709638, 10.8272336)"
1594,Canada,Toronto,"(43.6529206, -79.3849007)"
1595,India,kollam,"(8.8787461, 76.765350775326)"
1596,South Africa,Eshowe,"(-28.891577, 31.4648423)"
1597,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1598,China,Shanghai,"(31.2253441, 121.4888922)"
1599,Lithuania,Kaunas,"(54.8981061, 23.9117515)"
1600,Viet Nam,,"(13.2904027, 108.4265113)"
1601,Nepal,kathmandu,"(27.7087963, 85.3202438)"
1602,Libya,Tripoli,"(32.77325405, 13.4141472054133)"
1603,South Africa,,"(-28.8166235, 24.991639)"
1604,Spain,,"(40.0028028, -4.0031039)"
1605,Bangladesh,Dhaka,"(23.7593572, 90.3788136)"
1606,Libya,Tripoli,"(32.77325405, 13.4141472054133)"
1607,Belarus,Minsk,"(53.902334, 27.5618791)"
1608,Kenya,KIAMBU,"(-1.0358735, 36.8889099354682)"
1609,Mozambique,MAPUTO,"(-25.9662132, 32.5674498)"
1610,Norway,Oslo,"(59.9132694, 10.7391112)"
1611,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
1612,Netherlands,The Hague,"(52.0799838, 4.3113461)"
1613,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
1614,Democratic Republic of the Congo,kinshasa,"(-4.3217054, 15.3125974)"
1615,Germany,Stuttgart,"(48.7784485, 9.1800132)"
1616,Norway,Oslo,"(59.9132694, 10.7391112)"
1617,Italy,Grosseto,"(42.7597261, 11.1137389)"
1618,United Republic of Tanzania,zanzibar,
1619,Nigeria,kaduna,"(10.3825318, 7.8533226)"
1620,India,Howrah,"(22.5882216, 88.323139)"
1621,India,Howrah,"(22.5882216, 88.323139)"
1622,United States of America,"Longwood, Florida","(28.7007225, -81.3492778714387)"
1623,India,KOLKATA,"(22.5677459, 88.3476023)"
1624,Cote d'Ivoire,Abidjan,"(5.4091179, -4.0422098)"
1625,Ghana,Accra,"(5.5600141, -0.2057436)"
1626,Italy,Rome,"(41.8935085, 12.4825526)"
1627,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
1628,Nigeria,,"(9.6000359, 7.9999721)"
1629,Viet Nam,HO CHI MINH CITY,"(10.7758439, 106.7017555)"
1630,Mexico,Guadalajara,"(20.676143, -103.3469981)"
1631,Netherlands,The Hague,"(52.0799838, 4.3113461)"
1632,Indonesia,Jakarta,"(-6.1753941, 106.8271826)"
1633,Indonesia,Medan,"(3.5896654, 98.6738261)"
1634,Brazil,Belo Horizonte,"(-19.9227317, -43.9450947)"
1635,Ireland,Dublin,"(53.3497645, -6.2602731)"
1636,Poland,Lomza,"(53.1750699, 22.0727551)"
1637,India,Darbhanga,"(26.1564716, 85.9255196)"
1638,Uganda,Kampala,"(0.3177137, 32.5813539)"
1639,El Salvador,san salvador,"(13.6977587, -89.1930099)"
1640,Spain,Madrid,"(40.4167047, -3.7035824)"
1641,Paraguay,Asunción,"(-25.2959915, -57.6311195)"
1642,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
1643,Philippines,Antipolo,"(14.5870262, 121.1758611)"
1644,Brazil,Campinas,"(-22.9055599, -47.0608299)"
1645,Libya,Tripoli,"(32.77325405, 13.4141472054133)"
1646,Nigeria,Enugu/Nigeria,"(6.178511, 7.011564)"
1647,Sri Lanka,Colombo,"(6.934287, 79.8532704)"
1648,Brazil,Rio de Janeiro,"(-22.9110136, -43.2093726)"
1649,Libya,Tripoli,"(32.77325405, 13.4141472054133)"
1650,Armenia,Yerevan,"(40.1776121, 44.5125849)"
